file_id,path,filename,extension,mime,size,modified,parent_folders,logical_project,drawing_number,revision,classification,validation_role,local_copy,sha256,hash_source,verified,duplicate_status
135cR2ebj1msAGeYUTHcCgSXnuteV41ky,Drawings/Style of drawings/4/Results,Results,,application/vnd.google-apps.folder,0,2026-09-10T22:02:14.458Z,Style of drawings/4,Style of drawings,,,FOLDER,,,,ej hämtad,,0_VERSIONS_BY_SIZE
1yKPLvS6GYMzW_Bf5HFpr5jfj0njKYSLt,Drawings/Style of drawings/1/level 1,level 1,,application/vnd.google-apps.folder,0,2026-09-10T22:02:14.457Z,Style of drawings/1,Style of drawings,,,FOLDER,,,,ej hämtad,,0_VERSIONS_BY_SIZE
1jyGjC4vUKTOjGx2NmlSuulHL0fY8wnXC,Drawings/Style of drawings/1/level 3,level 3,,application/vnd.google-apps.folder,0,2026-09-10T22:02:14.456Z,Style of drawings/1,Style of drawings,,,FOLDER,,,,ej hämtad,,0_VERSIONS_BY_SIZE
1_e7wEb5MfoJyCOocsD79HW6ixElkf8CJ,Drawings/Style of drawings/1/level 2,level 2,,application/vnd.google-apps.folder,0,2026-09-10T22:02:14.456Z,Style of drawings/1,Style of drawings,,,FOLDER,,,,ej hämtad,,0_VERSIONS_BY_SIZE
1g_NJmG-vLF0fJqTnzCHG8BfFp0fOylWy,Drawings/Style of drawings/1/level 0,level 0,,application/vnd.google-apps.folder,0,2026-09-10T22:02:14.454Z,Style of drawings/1,Style of drawings,,,FOLDER,,,,ej hämtad,,0_VERSIONS_BY_SIZE
1vsmrAGjzQtkbFNM7nXbmlAfEftPZlnCN,Drawings/Style of drawings/1/W-50-1-A-0213.pdf,W-50-1-A-0213.pdf,pdf,application/pdf,513872,2026-09-03T00:39:14Z,Style of drawings/1,Style of drawings,W-50-1-A0213,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0213.pdf,c5f7db233d2ab642ec2b04688499327695f31d57b314b76eaa67901e28035dc3,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1njo1_YnnMkWi7f6SCCZIEq-xAO1luAUB,Drawings/Style of drawings/1/W-50-1-A-0214.pdf,W-50-1-A-0214.pdf,pdf,application/pdf,515627,2026-09-03T00:39:14Z,Style of drawings/1,Style of drawings,W-50-1-A0214,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0214.pdf,d0a69e2560cc6b0afa1494b49c3e5e4074e4cdd0100f27e25e3967fcc512fa33,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1FW1GMPL1kJyrnVGjapvnC_Gatz4yICcc,Drawings/Style of drawings/1/W-50-1-A-0211.pdf,W-50-1-A-0211.pdf,pdf,application/pdf,434592,2026-09-03T00:39:14Z,Style of drawings/1,Style of drawings,W-50-1-A0211,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0211.pdf,c990d3489422a9ad103f9be15cd17dfd8c709c55c1cd4843cc0dc9eb1a18767e,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1CrbVYf3Pjw89PpN7sm-5KQp1l4oBRJHb,Drawings/Style of drawings/1/W-50-1-A-0011.pdf,W-50-1-A-0011.pdf,pdf,application/pdf,466665,2026-09-03T00:38:26Z,Style of drawings/1,Style of drawings,W-50-1-A0011,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0011.pdf,c2884f3007f3764a5f566c57264acf05c830dc892d6f5087029cff745492ab5f,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,3_VERSIONS_BY_SIZE_x3
1kf20lw0c0iunPK7PMtQRPi_1yZ7xROFB,Drawings/Style of drawings/1/W-50-1-A-0013.pdf,W-50-1-A-0013.pdf,pdf,application/pdf,337276,2026-09-03T00:38:28Z,Style of drawings/1,Style of drawings,W-50-1-A0013,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0013.pdf,a5c6493c92fb2a2e9a2e23aef64ac39dc4f4434a5e862083fb1de9336d5174bd,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,3_VERSIONS_BY_SIZE_x3
1JVLiURvo7dPqavy1uqAlQZuqSnJplbH2,Drawings/Style of drawings/1/W-50-1-A-0014.pdf,W-50-1-A-0014.pdf,pdf,application/pdf,312115,2026-09-03T00:38:28Z,Style of drawings/1,Style of drawings,W-50-1-A0014,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0014.pdf,d0242e5f34c3be1799be58a0800239838fb2474ea36b59560c63974c6600760e,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1GPSfkd3pOE-uJIgTCWHJGu6Gg-mkm1Vp,Drawings/Style of drawings/1/W-50-1-A-0012.pdf,W-50-1-A-0012.pdf,pdf,application/pdf,290148,2026-09-03T00:37:58Z,Style of drawings/1,Style of drawings,W-50-1-A0012,,STYLE_PDF,,,,ej hämtad,,4_VERSIONS_BY_SIZE
1loGNMmM5aGsco4K1QQrWdRK1mLEssdG3,Drawings/Style of drawings/1/W-50-1-A-0134.pdf,W-50-1-A-0134.pdf,pdf,application/pdf,587133,2026-09-03T00:39:14Z,Style of drawings/1,Style of drawings,W-50-1-A0134,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0134.pdf,9b68e885ca816fd19369d66eb7758cf03fd6457d15b07e8a6342588b4bb7d412,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1008BpM0fWTcuZbTrKY2JZbPRiuot-9cZ,Drawings/Style of drawings/1/W-50-1-A-0111.pdf,W-50-1-A-0111.pdf,pdf,application/pdf,798712,2026-09-03T00:38:26Z,Style of drawings/1,Style of drawings,W-50-1-A0111,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0111.pdf,9e825bc058e304541f4d4f9696d2c9ebc080ac742fd2529335d6a182b346febe,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
160xSg9sSLMOIlsbEfzlSPzG-CjboVszE,Drawings/Style of drawings/1/W-50-1-A-0114.pdf,W-50-1-A-0114.pdf,pdf,application/pdf,618886,2026-09-03T00:38:26Z,Style of drawings/1,Style of drawings,W-50-1-A0114,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0114.pdf,61e5d07b2e3a7136d6ff6c74735d6afce8dc359470a2e8ceb5468325027c59f0,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
1A67Vv95BH4wlF_RzKMvJ_ygS6wScCGSn,Drawings/Style of drawings/1/W-50-1-A-0311.pdf,W-50-1-A-0311.pdf,pdf,application/pdf,505859,2026-09-03T00:39:14Z,Style of drawings/1,Style of drawings,W-50-1-A0311,,STYLE_PDF,DEVELOPMENT,cvat/CVAT/W-50-1-A-0311.pdf,a3ac91856f61c90545af74a8f6e9563a01b5b1971816643c8adbabbc424f97cc,"lokal kopia, samma namn och storlek",NO_ANNOTATIONS NO_TEXT_LAYER_FOR_TITLE_BLOCK,2_VERSIONS_BY_SIZE_x3
