DRAWING_ID,CLEAN_PDF,MARKED_PDF,FACIT_XLSX,BLUEBEAM_XML,CVAT,OTHER_REFERENCE,REVISION,EXPOSURE,STATUS,VALIDATION_SET,CONTENT_CHECK
1760268_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760268_1.pdf; Drawings/Style of drawings/13/1760268_1.pdf; Drawings/Video drawings/1760268_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760269_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760269_1.pdf; Drawings/Style of drawings/13/1760269_1.pdf; Drawings/Video drawings/1760269_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760270_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760270_1.pdf; Drawings/Style of drawings/13/1760270_1.pdf; Drawings/Video drawings/1760270_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760271_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760271_1.pdf; Drawings/Style of drawings/13/1760271_1.pdf; Drawings/Video drawings/1760271_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760272_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760272_1.pdf; Drawings/Style of drawings/13/1760272_1.pdf; Drawings/Video drawings/1760272_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760273_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760273_1.pdf; Drawings/Style of drawings/13/1760273_1.pdf; Drawings/Video drawings/1760273_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760274_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760274_1.pdf; Drawings/Style of drawings/13/1760274_1.pdf; Drawings/Video drawings/1760274_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760275_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760275_1.pdf; Drawings/Style of drawings/13/1760275_1.pdf; Drawings/Video drawings/1760275_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760276_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760276_1.pdf; Drawings/Style of drawings/13/1760276_1.pdf; Drawings/Video drawings/1760276_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760277_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760277_1.pdf; Drawings/Style of drawings/13/1760277_1.pdf; Drawings/Video drawings/1760277_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760278_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760278_1.pdf; Drawings/Style of drawings/13/1760278_1.pdf; Drawings/Video drawings/1760278_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
