blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
z|2|Hus B.pdf;39;A1;18.61;1084301;12522;1401.0;1422.2;2526.0;109.2;54;43798;FROM_THE_SET;0;0.4059;2.811;0.3276;3.544
z|3|Badskon 1.pdf;26;A3;3.495;281258;2893;436.7;441.0;776.0;26.6;38;30683;NONE;0;0.1259;1.977;0.0799;2.183
TOFTASKOLAN HUS B|V-50-1-010.pdf;1;A1;0.5;7164;263;19.9;21.0;213.0;8.3;36;37164;VERIFIED;7;0.006;1.914;0.0249;1.945
z|5|2.pdf;1;A1;0.5;8554;179;44.7;45.8;233.0;14.9;32;26122;VERIFIED;15;0.0131;1.667;0.0447;1.724
z|4|Badskon 2.pdf;36;A1;17.111;545587;15363;876.1;885.0;1305.0;133.2;15;12146;NONE;0;0.2526;0.781;0.3995;1.433
TOFTASKOLAN HUS B|V-57.1-01.pdf;1;A1;0.5;26135;344;143.1;144.4;270.0;9.5;24;23210;VERIFIED;25;0.0412;1.268;0.0285;1.338
z|9|9.pdf;1;A1;0.5;19543;281;92.4;93.7;260.0;17.9;19;15383;VERIFIED;28;0.0267;0.989;0.0537;1.069
src|07 - Arildssons Rör - Ghostscript 9.21|Bläckhornet.pdf;1;A0+;3.0;75164;2561;182.0;183.5;481.0;42.1;15;12498;VERIFIED;35;0.0524;0.782;0.1262;0.961
z|9|8.pdf;1;A1;0.5;11455;178;18.2;19.4;216.0;8.8;17;14363;VERIFIED;9;0.0055;0.888;0.0263;0.92
Rundstickan|V-50-1-B0222.pdf;1;A1;0.5;10901;308;38.2;39.2;233.0;9.0;15;14086;TEXT_ONLY;15;0.0112;0.79;0.027;0.829
V-50-1-A0521;1;A1;0.5;9740;415;13.4;14.5;231.0;8.3;15;13202;VERIFIED;12;0.0041;0.786;0.0249;0.815
test|V-50-1-A0521.pdf;1;A1;0.5;9611;317;13.4;14.4;229.0;7.6;15;13202;VERIFIED;12;0.0041;0.786;0.0229;0.813
Rundstickan|V-50-1-B0322.pdf;1;A1;0.5;10416;298;13.5;14.5;232.0;8.1;14;12691;VERIFIED;14;0.0041;0.735;0.0244;0.764
V-50-1-B0122;1;A1;0.5;14771;1044;24.0;25.3;251.0;17.4;13;12732;VERIFIED;31;0.0072;0.688;0.0521;0.747
test|V-50-1-B0122.pdf;1;A1;0.5;13826;397;23.8;24.8;245.0;13.2;13;12732;VERIFIED;31;0.0071;0.688;0.0397;0.734
Ritningar|V50-1-0824 - Plan B2, Del 24, Värme & Sanitäranlägg-.pdf;1;A1;0.5;8966;203;14.8;16.0;202.0;9.2;13;10556;VERIFIED;6;0.0046;0.677;0.0277;0.709
TOFTASKOLAN HUS B|V-57.1-02.pdf;1;A1;0.5;22978;438;74.1;75.4;262.0;14.3;12;11754;VERIFIED;8;0.0215;0.635;0.0429;0.699
z|9|7.pdf;1;A1;0.5;20000;291;101.2;102.5;286.0;23.5;11;9231;VERIFIED;34;0.0293;0.574;0.0706;0.674
W-50-1-A0113;1;A1;0.5;34968;762;72.8;74.5;317.0;15.6;11;10535;CONFLICT;39;0.0213;0.581;0.0469;0.649
V-50-1-A0412;1;A1;0.5;15013;727;21.3;22.4;245.0;13.3;11;9649;VERIFIED;19;0.0064;0.576;0.0398;0.622
z|2|V-50-1-A0412.pdf;1;A1;0.5;14464;356;20.1;21.3;244.0;10.8;11;9649;VERIFIED;19;0.0061;0.576;0.0324;0.615
W-50-1-A0131;1;A1;0.5;36718;595;52.0;53.6;310.0;13.3;10;9361;CONFLICT;16;0.0153;0.527;0.0398;0.582
V-50-1-A0124;1;A1;0.5;11734;891;22.3;23.4;238.0;12.7;10;8995;VERIFIED;19;0.0067;0.525;0.0382;0.57
